video_id,crawl_time,cover_uri,cover_url_list,cover_width,cover_height,origin_cover_uri,origin_cover_url_list,origin_cover_width,origin_cover_height,dynamic_cover_uri,dynamic_cover_url_list,dynamic_cover_width,dynamic_cover_height,video_width,video_height,video_format,video_ratio,is_h265,is_long_video,has_watermark,bit_rate_raw,big_thumbs_raw,video_meta_raw
7614695862547025194,2026-05-07 18:43:27.898359,image-cut-tos-priv/153e1b061c5cdfb022ebf63d002e3362,"[""https://p9-pc-sign.douyinpic.com/obj/c8510002be9a3a61aad2?lk3s=138a59ce&x-expires=1779357600&x-signature=A5ZURgHe7ug26w8jMH4oWntpCJU%3D&from=327834062""]",,,tos-cn-p-0015/oYXAxSFrsIDr01CAT6lgfOEfpsIV95nADmbN1B,"[""tos-cn-p-0015/oYXAxSFrsIDr01CAT6lgfOEfpsIV95nADmbN1B""]",640,360,tos-cn-i-dy/493df13cf30a49c98cfe41a6c758e53c,"[""tos-cn-i-dy/493df13cf30a49c98cfe41a6c758e53c""]",720,720,720,720,,,,,,,,
7615061488977317146,2026-05-07 18:43:33.039219,,,,,,,,,,,,,300,318,,,,,,,,
7615109339958791475,2026-05-07 18:43:35.499733,,,,,,,,,,,,,300,318,,,,,,,,
7615149319166922027,2026-05-07 18:43:37.687911,image-cut-tos-priv/473438cebc94446325f2bdf5c451dded,"[""https://p3-pc-sign.douyinpic.com/obj/c8510002be9a3a61aad2?lk3s=138a59ce&x-expires=1779357600&x-signature=DjVsaQ%2BB8AuujM7SKt8A7qOA36c%3D&from=327834062""]",,,tos-cn-p-0015/o8LAiJjTXAKOB9zBICQOq7cCEIueIR83BefAIG,"[""tos-cn-p-0015/o8LAiJjTXAKOB9zBICQOq7cCEIueIR83BefAIG""]",640,360,tos-cn-i-dy/209d9b5bb88d473a9e6f9cae04004c5d,"[""tos-cn-i-dy/209d9b5bb88d473a9e6f9cae04004c5d""]",720,720,720,720,,,,,,,,
7615160400543693914,2026-05-07 18:43:40.528100,,,,,,,,,,,,,300,318,,,,,,,,
7615193698905723274,2026-05-07 18:43:42.676877,,,,,,,,,,,,,300,318,,,,,,,,
7615201383675414693,2026-05-07 18:43:45.086030,,,,,,,,,,,,,300,318,,,,,,,,
7615203800814521663,2026-05-07 18:43:47.363022,,,,,,,,,,,,,300,318,,,,,,,,
7615234093273353481,2026-05-07 18:43:49.542484,,,,,,,,,,,,,300,318,,,,,,,,
7615241410572209462,2026-05-07 18:43:51.595480,,,,,,,,,,,,,300,318,,,,,,,,
7615452906074098971,2026-05-07 18:43:54.805185,image-cut-tos-priv/5e8716d9fb91553c45eac124507a05f7,"[""https://p3-pc-sign.douyinpic.com/obj/c8510002be9a3a61aad2?lk3s=138a59ce&x-expires=1779357600&x-signature=DjVsaQ%2BB8AuujM7SKt8A7qOA36c%3D&from=327834062""]",,,tos-cn-p-0015/oIfbf5ha4pNIQgEkhFVFYALDBvWqrQ9vXrNABA,"[""tos-cn-p-0015/oIfbf5ha4pNIQgEkhFVFYALDBvWqrQ9vXrNABA""]",640,360,tos-cn-i-dy/050ebcbf2941465ba5c1cbe108a03e3b,"[""tos-cn-i-dy/050ebcbf2941465ba5c1cbe108a03e3b""]",720,720,720,720,,,,,,,,
7615472845297158322,2026-05-07 18:43:59.692666,,,,,,,,,,,,,300,318,,,,,,,,
7615549379047659163,2026-05-07 18:44:02.078282,,,,,,,,,,,,,300,318,,,,,,,,
7615563220561199778,2026-05-07 18:44:04.286167,,,,,,,,,,,,,300,318,,,,,,,,
7615566765363318054,2026-05-07 18:44:06.354940,,,,,,,,,,,,,300,318,,,,,,,,
7615587699314986276,2026-05-07 18:44:08.600486,,,,,,,,,,,,,300,318,,,,,,,,
7615627442803417457,2026-05-07 18:44:10.993086,image-cut-tos-priv/d3bb910223b657c491b33be8c1ebbd00,"[""https://p3-pc-sign.douyinpic.com/obj/c8510002be9a3a61aad2?lk3s=138a59ce&x-expires=1779357600&x-signature=DjVsaQ%2BB8AuujM7SKt8A7qOA36c%3D&from=327834062""]",,,tos-cn-p-0015c000-ce/owtBiC0WAAxdyO6wICXOifUBeJ280IAb0EFewu,"[""tos-cn-p-0015c000-ce/owtBiC0WAAxdyO6wICXOifUBeJ280IAb0EFewu""]",640,360,tos-cn-i-0813c000-ce/oUOmEISswTz9AIpZpAQFoyFeANEgeCfSEAAODA,"[""tos-cn-i-0813c000-ce/oUOmEISswTz9AIpZpAQFoyFeANEgeCfSEAAODA""]",720,720,720,720,,,,,,,,
7615834657766116654,2026-05-07 18:44:18.905232,,,,,,,,,,,,,300,318,,,,,,,,
7615850961060639350,2026-05-07 18:44:21.541984,,,,,,,,,,,,,300,318,,,,,,,,
7615853259512745216,2026-05-07 18:44:24.017501,,,,,,,,,,,,,300,318,,,,,,,,
7615894858741452067,2026-05-07 18:44:27.273461,image-cut-tos-priv/8b136a6c8229fcea24da85d43b822338,"[""https://p3-pc-sign.douyinpic.com/obj/c8510002be9a3a61aad2?lk3s=138a59ce&x-expires=1779357600&x-signature=DjVsaQ%2BB8AuujM7SKt8A7qOA36c%3D&from=327834062""]",,,tos-cn-p-0015/oYIWxT3BzCiZkA7M9OIAiFEBfGDDFYCvCfePBG,"[""tos-cn-p-0015/oYIWxT3BzCiZkA7M9OIAiFEBfGDDFYCvCfePBG""]",640,360,tos-cn-i-dy/89ee397d9b6a444daa7d60732dc8aef4,"[""tos-cn-i-dy/89ee397d9b6a444daa7d60732dc8aef4""]",720,720,720,720,,,,,,,,
7615906927494630675,2026-05-07 18:44:33.469123,image-cut-tos-priv/1bb1f06f58fae26a202ad6ce3bd963f6,"[""https://p3-pc-sign.douyinpic.com/obj/c8510002be9a3a61aad2?lk3s=138a59ce&x-expires=1779357600&x-signature=DjVsaQ%2BB8AuujM7SKt8A7qOA36c%3D&from=327834062""]",,,tos-cn-p-0015/oU7egBl2AuDgQPyTYkELIUHYgCKejfpx7AGIBk,"[""tos-cn-p-0015/oU7egBl2AuDgQPyTYkELIUHYgCKejfpx7AGIBk""]",640,360,tos-cn-i-dy/46073f1d71134983bb4bca606b01b09d,"[""tos-cn-i-dy/46073f1d71134983bb4bca606b01b09d""]",720,720,720,720,,,,,,,,
7615917938175905060,2026-05-07 18:44:36.368269,image-cut-tos-priv/968922ad44e875fa815644023eb55524,"[""https://p9-pc-sign.douyinpic.com/obj/c8510002be9a3a61aad2?lk3s=138a59ce&x-expires=1779357600&x-signature=A5ZURgHe7ug26w8jMH4oWntpCJU%3D&from=327834062""]",,,tos-cn-p-0015/ok3IEIiAv9Lw21ynAa0gNPOQvAxpiibcIjBRU,"[""tos-cn-p-0015/ok3IEIiAv9Lw21ynAa0gNPOQvAxpiibcIjBRU""]",640,360,tos-cn-i-dy/6afe7c03fa2a4795986c792700045a19,"[""tos-cn-i-dy/6afe7c03fa2a4795986c792700045a19""]",720,720,720,720,,,,,,,,
7615972494008143114,2026-05-07 18:45:02.911145,image-cut-tos-priv/74efd85046b543744dcfd62553899bc6,"[""https://p9-pc-sign.douyinpic.com/obj/c8510002be9a3a61aad2?lk3s=138a59ce&x-expires=1779357600&x-signature=A5ZURgHe7ug26w8jMH4oWntpCJU%3D&from=327834062""]",,,tos-cn-p-0015/ocIgOeB0h2xX3inxx4SBrgAACVAfA3rGgIEdiK,"[""tos-cn-p-0015/ocIgOeB0h2xX3inxx4SBrgAACVAfA3rGgIEdiK""]",640,360,tos-cn-i-dy/d2befbf6b3a74613b169832d8d094a3d,"[""tos-cn-i-dy/d2befbf6b3a74613b169832d8d094a3d""]",720,720,720,720,,,,,,,,
7616000274355719450,2026-05-07 18:45:06.933660,,,,,,,,,,,,,300,318,,,,,,,,
7616285672597153642,2026-05-07 18:45:09.354058,image-cut-tos-priv/63ac2c5a02424e00235b6c607bf16eee,"[""https://p3-pc-sign.douyinpic.com/obj/c8510002be9a3a61aad2?lk3s=138a59ce&x-expires=1779357600&x-signature=DjVsaQ%2BB8AuujM7SKt8A7qOA36c%3D&from=327834062""]",,,tos-cn-p-0015/oIBaAerscFtBlAnDQpEDx4fuQxJGgshhANkBz9,"[""tos-cn-p-0015/oIBaAerscFtBlAnDQpEDx4fuQxJGgshhANkBz9""]",360,640,tos-cn-i-0813c001/oojk3EtEAr9CAQeIdCFpA9FDgsNAAAQufnsA7r,"[""tos-cn-i-0813c001/oojk3EtEAr9CAQeIdCFpA9FDgsNAAAQufnsA7r""]",720,720,720,720,,,,,,,,
7616329006098533638,2026-05-07 18:45:12.279765,image-cut-tos-priv/9548a34661211e110b6574ecfc406981,"[""https://p3-pc-sign.douyinpic.com/obj/c8510002be9a3a61aad2?lk3s=138a59ce&x-expires=1779357600&x-signature=DjVsaQ%2BB8AuujM7SKt8A7qOA36c%3D&from=327834062""]",,,tos-cn-p-0015/os5nuyOIS9IeZlyTAYBI7ofLgeaSNkBGBGxCAD,"[""tos-cn-p-0015/os5nuyOIS9IeZlyTAYBI7ofLgeaSNkBGBGxCAD""]",640,360,tos-cn-i-dy/003a26a26d554def96665037f0c66933,"[""tos-cn-i-dy/003a26a26d554def96665037f0c66933""]",720,720,720,720,,,,,,,,
7616680806907497766,2026-05-07 18:45:14.759812,image-cut-tos-priv/0ea628b96ede6ef4265300ad17b7e7dc,"[""https://p3-pc-sign.douyinpic.com/obj/c8510002be9a3a61aad2?lk3s=138a59ce&x-expires=1779357600&x-signature=DjVsaQ%2BB8AuujM7SKt8A7qOA36c%3D&from=327834062""]",,,tos-cn-p-0015/osCF3AfwDsIAB49uABgTIDii5THmppzuBdAfB8,"[""tos-cn-p-0015/osCF3AfwDsIAB49uABgTIDii5THmppzuBdAfB8""]",640,360,tos-cn-i-dy/319a6e0529f44d6c9e1d3a14ba9b4e72,"[""tos-cn-i-dy/319a6e0529f44d6c9e1d3a14ba9b4e72""]",720,720,720,720,,,,,,,,
7616683875292483685,2026-05-07 18:45:23.246986,,,,,,,,,,,,,300,318,,,,,,,,
7616699320989040506,2026-05-07 18:45:26.100263,,,,,,,,,,,,,300,318,,,,,,,,
7616751829237419299,2026-05-07 18:45:29.849089,image-cut-tos-priv/bb3ca300795cd4a31d1b87b483163527,"[""https://p3-pc-sign.douyinpic.com/obj/c8510002be9a3a61aad2?lk3s=138a59ce&x-expires=1779357600&x-signature=DjVsaQ%2BB8AuujM7SKt8A7qOA36c%3D&from=327834062""]",,,tos-cn-p-0015/oguTaFMDBBCQ3LLf8BAAAJfWBEQje55LqTk7Ej,"[""tos-cn-p-0015/oguTaFMDBBCQ3LLf8BAAAJfWBEQje55LqTk7Ej""]",640,360,tos-cn-i-dy/5268829b88e945fa8eaef8c721bd8c7a,"[""tos-cn-i-dy/5268829b88e945fa8eaef8c721bd8c7a""]",720,720,720,720,,,,,,,,
7616765958964105851,2026-05-07 18:45:36.575552,,,,,,,,,,,,,300,318,,,,,,,,
7617024054834335019,2026-05-07 18:45:39.167815,image-cut-tos-priv/068258004e8cb1811530ea743badc704,"[""https://p3-pc-sign.douyinpic.com/obj/c8510002be9a3a61aad2?lk3s=138a59ce&x-expires=1779357600&x-signature=DjVsaQ%2BB8AuujM7SKt8A7qOA36c%3D&from=327834062""]",,,tos-cn-p-0015/oA1JRIi1swqU8ZBAiQOb5Ga10AKAmIxv4IPDD,"[""tos-cn-p-0015/oA1JRIi1swqU8ZBAiQOb5Ga10AKAmIxv4IPDD""]",640,360,tos-cn-i-dy/6bcc564644924fe6903cda2c1c8ac996,"[""tos-cn-i-dy/6bcc564644924fe6903cda2c1c8ac996""]",720,720,720,720,,,,,,,,
7617081482964564426,2026-05-07 18:45:45.896567,,,,,,,,,,,,,300,318,,,,,,,,
7617215052890872037,2026-05-07 18:45:48.351200,,,,,,,,,,,,,300,318,,,,,,,,
7617411152225602822,2026-05-07 18:45:50.581552,,,,,,,,,,,,,300,318,,,,,,,,
7617547065350773609,2026-05-07 18:45:53.104290,,,,,,,,,,,,,300,318,,,,,,,,
7617816841326546182,2026-05-07 18:45:55.532091,image-cut-tos-priv/2ddd669e176395caee266c85970a409d,"[""https://p3-pc-sign.douyinpic.com/obj/c8510002be9a3a61aad2?lk3s=138a59ce&x-expires=1779357600&x-signature=DjVsaQ%2BB8AuujM7SKt8A7qOA36c%3D&from=327834062""]",,,tos-cn-p-0015/oEKQBYoQEFANLbBAQ7EDEUzNeH7eksT3GBZfCE,"[""tos-cn-p-0015/oEKQBYoQEFANLbBAQ7EDEUzNeH7eksT3GBZfCE""]",640,360,tos-cn-i-dy/261f538371cf41d9810ed813dad76bbe,"[""tos-cn-i-dy/261f538371cf41d9810ed813dad76bbe""]",720,720,720,720,,,,,,,,
7618116094112337202,2026-05-07 18:46:07.952875,,,,,,,,,,,,,300,318,,,,,,,,
7618139383429991722,2026-05-07 18:46:10.521431,,,,,,,,,,,,,300,318,,,,,,,,
7618140558922707791,2026-05-07 18:46:14.700087,image-cut-tos-priv/eab6be6f1581f63a8f1c9c60bf1033a8,"[""https://p3-pc-sign.douyinpic.com/obj/c8510002be9a3a61aad2?lk3s=138a59ce&x-expires=1779357600&x-signature=DjVsaQ%2BB8AuujM7SKt8A7qOA36c%3D&from=327834062""]",,,tos-cn-p-0015/oAPAKII38GBOkDLQ6DBmAIaaEb54Twgip9ibv,"[""tos-cn-p-0015/oAPAKII38GBOkDLQ6DBmAIaaEb54Twgip9ibv""]",360,480,tos-cn-p-0015/ooBgO7QLICPi4T5kz8vE8IAAbIaoW9i3GwyaI,"[""tos-cn-p-0015/ooBgO7QLICPi4T5kz8vE8IAAbIaoW9i3GwyaI""]",720,720,720,720,,,,,,,,
7618179591827459391,2026-05-07 18:46:19.571060,,,,,,,,,,,,,300,318,,,,,,,,
