video_id,crawl_time,music_id,music_mid,music_title,music_author,music_owner_id,music_owner_nickname,music_duration,music_shoot_duration,is_original_sound,is_commerce_music,music_status,music_collect_count,music_cover_url_list,music_play_url_list
7604821651553427557,2026-05-09 21:55:51.789307,7161706868652379403,,@小猪姐姐zz创作的原声,小猪姐姐zz,82745142061,小猪姐姐zz,462,,False,,,,,
7604821850169904418,2026-05-09 21:56:05.929304,7604822289267673894,,@peter音乐聚焦创作的原声,peter音乐聚焦,3197816422547336,peter音乐聚焦,310,,False,,,,,
7604825732351437243,2026-05-09 21:56:14.540216,,,直播间带货榜,,,,,,,,,,,
7604829537238551860,2026-05-09 21:56:17.224929,7604829823738907434,,@一只坤子🏀创作的原声,一只坤子🏀,3367129825943915,一只坤子🏀,173,,False,,,,,
7604833555604065570,2026-05-09 21:56:24.391912,7604833949264857875,,王者荣耀,周二的烦恼（孙策教学）,3828961126406832,周二的烦恼（孙策教学）,319,,False,,,,,
7604835015356173620,2026-05-09 21:56:31.753237,7604835988916964132,,@马特修车创作的原声,马特修车,4158768559427705,马特修车,1492,,False,,,,,
7604835214270958875,2026-05-09 21:56:40.753761,7604836013467011890,,@杰诺探美食(收学徒)创作的原声,杰诺探美食(收学徒),3883910597462056,杰诺探美食(收学徒),960,,False,,,,,
7604852939303793003,2026-05-09 21:56:47.819253,7604852765831072566,,@饼饼创作的原声,饼饼,2622752463534944,饼饼,354,,False,,,,,
7604856005398236468,2026-05-09 21:56:55.651815,7604856670833199891,,@马大善良创作的原声,马大善良,94460321183,马大善良,703,,False,,,,,
7604858929071490153,2026-05-09 21:57:10.545069,7604858902450064137,,@Bro不讲废话创作的原声,Bro不讲废话,391856804083136,Bro不讲废话,258,,False,,,,,
7604859830657895706,2026-05-09 21:57:15.262649,7604860185127619366,,火影忍者,圣光です（火影黄埔军校）,429265290802844,圣光です（火影黄埔军校）,253,,False,,,,,
7604863321012364195,2026-05-09 21:57:23.757393,7604863213158665002,,@爆笑花花创作的原声,爆笑花花,2430388434636867,爆笑花花,1149,,False,,,,,
