sample_id,video_id,author_id,duration_ms,digg_count,comment_count,share_count,collect_count,play_count,recommend_count,admire_count,is_top,is_ads,is_life_item,original,aweme_type,media_type,create_time,follower_count,total_favorited,verification_type,author_status,author_secret,author_prevent_download,origin_cover_width,origin_cover_height,has_watermark,desc_length,desc_word_count,signature_length,avg_comment_text_length,region,music_title,music_author,hashtag_name_top,video_tag_list_str,hashtag_count,video_tag_count,comment_table_count,max_comment_digg_count,chapter_count,related_video_count,author_id_x_top_hashtag,author_id_x_music_title,duration_bucket_x_top_hashtag,has_watermark_x_duration_bucket,interaction_score,label,split
7627472699962576166,7627472699962576166,1113146619342252,218834,1383,43,83,317,0,0,0,0,False,False,0,0,4,1775909384,44869,1537724,1,1,0,False,640,360,False,21,17,9,8.25,CN,@雨忆的小迷弟创作的原声,雨忆的小迷弟,动漫,知识科普 | 萌宠 | 美食,4.0,3,4,203,2,6,1113146619342252_x_动漫,1113146619342252_x_@雨忆的小迷弟创作的原声,medium_x_动漫,False_x_medium,1826.0,0,train
7627693001658504421,7627693001658504421,71122359724,244400,4097,130,122,578,0,0,0,0,False,False,0,0,4,1775960671,1751097,23784517,1,1,0,False,640,360,False,15,13,0,9.666666666666666,CN,用第五人格演绎西虹市首富,,第五人格,运动 | 娱乐,3.0,2,3,201,1,6,71122359724_x_第五人格,71122359724_x_用第五人格演绎西虹市首富,medium_x_第五人格,False_x_medium,4927.0,0,train
7627771722061696308,7627771722061696308,4214869907237674,881,33382,525,9263,4790,0,0,0,0,False,False,0,0,4,1775979005,13969,583078,1,1,0,False,640,360,False,29,25,37,8.333333333333334,CN,@诌诌观影日记创作的原声,诌诌观影日记,iu,旅行,5.0,1,3,440,2,6,4214869907237674_x_iu,4214869907237674_x_@诌诌观影日记创作的原声,short_x_iu,False_x_short,47960.0,1,train
7627790321199705009,7627790321199705009,51006864113548,262134,225407,2914,40698,17302,0,0,0,0,False,False,0,0,4,1775983330,520711,9630706,1,1,0,False,640,360,False,44,40,39,7.333333333333333,CN,大侦探玩梗玩到了三角洲,,三角洲,美食 | 知识科普,5.0,2,3,481,1,6,51006864113548_x_三角洲,51006864113548_x_大侦探玩梗玩到了三角洲,medium_x_三角洲,False_x_medium,286321.0,1,train
7627792713907195190,7627792713907195190,2499623379545772,1702,16373,766,3755,4649,0,0,0,0,False,False,0,0,4,1775985070,192296,3839432,1,1,0,False,648,360,False,52,49,49,8.333333333333334,CN,@听雨探影创作的原声,听雨探影,香港恐怖片,搞笑 | 时尚,4.0,2,3,499,3,6,2499623379545772_x_香港恐怖片,2499623379545772_x_@听雨探影创作的原声,short_x_香港恐怖片,False_x_short,25543.0,0,train
7627796121867341075,7627796121867341075,2001555386803502,234894,759,18,90,696,0,0,0,0,False,False,0,0,4,1776076200,891736,5157853,1,1,0,False,640,360,False,44,42,31,8.5,CN,@虾侃解说创作的原声,虾侃解说,国外视频分享,生活记录 | 美食 | 旅行,3.0,3,4,437,2,6,2001555386803502_x_国外视频分享,2001555386803502_x_@虾侃解说创作的原声,medium_x_国外视频分享,False_x_medium,1563.0,0,train
7627822640091459546,7627822640091459546,100443192109,351944,18,654,795,231,0,0,0,0,False,False,0,0,4,1776158432,598,6032,1,1,0,False,640,360,False,56,55,35,7.5,CN,迷途羔羊,,,美食 | 游戏,,2,4,302,3,6,100443192109_x_NA,100443192109_x_迷途羔羊,long_x_NA,False_x_long,1698.0,0,train
7627886327517711651,7627886327517711651,2608478173538542,1692,73701,938,20422,14964,0,0,0,0,False,False,0,0,4,1776051300,225976,2694618,1,1,0,False,640,360,False,29,25,34,7.75,CN,Cha Cha Cha,,周润发,萌宠,5.0,1,4,476,1,6,2608478173538542_x_周润发,2608478173538542_x_Cha Cha Cha,short_x_周润发,False_x_short,110025.0,1,train
7628060646696815926,7628060646696815926,1857503537928768,291200,38873,2912,2619,4274,0,0,0,0,False,False,0,0,4,1776046277,20719,965046,1,1,0,False,640,360,False,33,28,14,8.75,CN,关中王进行曲（DJ戏腔）,,火影忍者手游,娱乐 | 知识科普 | 时尚,5.0,3,4,349,1,6,1857503537928768_x_火影忍者手游,1857503537928768_x_关中王进行曲（DJ戏腔）,medium_x_火影忍者手游,False_x_medium,48678.0,1,train
7628110680549705189,7628110680549705189,7515758847228675130,539,6674,493,486,5005,0,0,0,0,False,False,0,0,4,1776070800,615233,2652778,1,1,0,False,640,360,False,40,38,89,9.75,CN,@江南大魔王创作的原声,江南大魔王,游戏怪谈,科技,3.0,1,4,431,3,6,7515758847228675130_x_游戏怪谈,7515758847228675130_x_@江南大魔王创作的原声,short_x_游戏怪谈,False_x_short,12658.0,0,train
