source_node_id,target_node_id,source_raw_id,target_raw_id,edge_type,is_reverse
1579,7345,video::7615258478839467279,video::7620756829919792384,video_related_video,False
7345,1579,video::7620756829919792384,video::7615258478839467279,video_related_video,True
1579,4011,video::7615258478839467279,video::7618126199167929635,video_related_video,False
4011,1579,video::7618126199167929635,video::7615258478839467279,video_related_video,True
1579,12055,video::7615258478839467279,video::7627439169523078907,video_related_video,False
12055,1579,video::7627439169523078907,video::7615258478839467279,video_related_video,True
1579,7299,video::7615258478839467279,video::7614357859598191283,video_related_video,False
7299,1579,video::7614357859598191283,video::7615258478839467279,video_related_video,True
1579,2245,video::7615258478839467279,video::7619529027841264896,video_related_video,False
2245,1579,video::7619529027841264896,video::7615258478839467279,video_related_video,True
1579,12056,video::7615258478839467279,video::7615902386980179227,video_related_video,False
12056,1579,video::7615902386980179227,video::7615258478839467279,video_related_video,True
1579,12057,video::7615258478839467279,video::7618984635908771107,video_related_video,False
12057,1579,video::7618984635908771107,video::7615258478839467279,video_related_video,True
1579,4369,video::7615258478839467279,video::7621910793319225457,video_related_video,False
4369,1579,video::7621910793319225457,video::7615258478839467279,video_related_video,True
1579,12058,video::7615258478839467279,video::7615214466824768831,video_related_video,False
12058,1579,video::7615214466824768831,video::7615258478839467279,video_related_video,True
1582,3355,video::7615278292190514486,video::7629006341541072170,video_related_video,False
3355,1582,video::7629006341541072170,video::7615278292190514486,video_related_video,True
1582,12059,video::7615278292190514486,video::7614455476813679924,video_related_video,False
12059,1582,video::7614455476813679924,video::7615278292190514486,video_related_video,True
1582,12060,video::7615278292190514486,video::7633073097825914166,video_related_video,False
12060,1582,video::7633073097825914166,video::7615278292190514486,video_related_video,True
1582,12061,video::7615278292190514486,video::7632232047901199662,video_related_video,False
12061,1582,video::7632232047901199662,video::7615278292190514486,video_related_video,True
1582,7959,video::7615278292190514486,video::7633414853046062378,video_related_video,False
7959,1582,video::7633414853046062378,video::7615278292190514486,video_related_video,True
1582,12062,video::7615278292190514486,video::7633251170937353594,video_related_video,False
12062,1582,video::7633251170937353594,video::7615278292190514486,video_related_video,True
1582,12063,video::7615278292190514486,video::7635376720945745188,video_related_video,False
12063,1582,video::7635376720945745188,video::7615278292190514486,video_related_video,True
1582,1162,video::7615278292190514486,video::7612610739353701674,video_related_video,False
1162,1582,video::7612610739353701674,video::7615278292190514486,video_related_video,True
1582,12064,video::7615278292190514486,video::7609103681677528360,video_related_video,False
12064,1582,video::7609103681677528360,video::7615278292190514486,video_related_video,True
1582,12065,video::7615278292190514486,video::7619633321466809651,video_related_video,False
12065,1582,video::7619633321466809651,video::7615278292190514486,video_related_video,True
1583,12066,video::7615282499777727782,video::7623383830233516401,video_related_video,False
12066,1583,video::7623383830233516401,video::7615282499777727782,video_related_video,True
1583,12067,video::7615282499777727782,video::7619541649433169187,video_related_video,False
12067,1583,video::7619541649433169187,video::7615282499777727782,video_related_video,True
1583,12068,video::7615282499777727782,video::7630056838042266042,video_related_video,False
12068,1583,video::7630056838042266042,video::7615282499777727782,video_related_video,True
1583,12069,video::7615282499777727782,video::7636267183097566577,video_related_video,False
12069,1583,video::7636267183097566577,video::7615282499777727782,video_related_video,True
1583,12070,video::7615282499777727782,video::7633770840240249722,video_related_video,False
12070,1583,video::7633770840240249722,video::7615282499777727782,video_related_video,True
1583,6933,video::7615282499777727782,video::7636366652216544538,video_related_video,False
6933,1583,video::7636366652216544538,video::7615282499777727782,video_related_video,True
1583,12071,video::7615282499777727782,video::7630384465034404082,video_related_video,False
12071,1583,video::7630384465034404082,video::7615282499777727782,video_related_video,True
1583,12072,video::7615282499777727782,video::7631445633076923700,video_related_video,False
12072,1583,video::7631445633076923700,video::7615282499777727782,video_related_video,True
1583,12073,video::7615282499777727782,video::7635624968566476042,video_related_video,False
12073,1583,video::7635624968566476042,video::7615282499777727782,video_related_video,True
1583,12074,video::7615282499777727782,video::7632885365451349860,video_related_video,False
12074,1583,video::7632885365451349860,video::7615282499777727782,video_related_video,True
1585,5694,video::7615288930493041920,video::7632719521488407827,video_related_video,False
5694,1585,video::7632719521488407827,video::7615288930493041920,video_related_video,True
1585,3164,video::7615288930493041920,video::7627738150206557503,video_related_video,False
3164,1585,video::7627738150206557503,video::7615288930493041920,video_related_video,True
1585,12075,video::7615288930493041920,video::7625612296178212457,video_related_video,False
12075,1585,video::7625612296178212457,video::7615288930493041920,video_related_video,True
1585,8375,video::7615288930493041920,video::7618583170522434843,video_related_video,False
8375,1585,video::7618583170522434843,video::7615288930493041920,video_related_video,True
1585,5614,video::7615288930493041920,video::7637459538514057215,video_related_video,False
5614,1585,video::7637459538514057215,video::7615288930493041920,video_related_video,True
1585,394,video::7615288930493041920,video::7606290589100920090,video_related_video,False
394,1585,video::7606290589100920090,video::7615288930493041920,video_related_video,True
1585,6932,video::7615288930493041920,video::7621032678040587570,video_related_video,False
6932,1585,video::7621032678040587570,video::7615288930493041920,video_related_video,True
1585,6934,video::7615288930493041920,video::7622692514444627254,video_related_video,False
6934,1585,video::7622692514444627254,video::7615288930493041920,video_related_video,True
1585,12076,video::7615288930493041920,video::7636401702198873344,video_related_video,False
12076,1585,video::7636401702198873344,video::7615288930493041920,video_related_video,True
1585,12077,video::7615288930493041920,video::7633745907711790388,video_related_video,False
12077,1585,video::7633745907711790388,video::7615288930493041920,video_related_video,True
1589,1081,video::7615414841565717620,video::7612070796391143601,video_related_video,False
1081,1589,video::7612070796391143601,video::7615414841565717620,video_related_video,True
1589,4325,video::7615414841565717620,video::7621547114811690303,video_related_video,False
4325,1589,video::7621547114811690303,video::7615414841565717620,video_related_video,True
1589,6283,video::7615414841565717620,video::7629955381971651903,video_related_video,False
6283,1589,video::7629955381971651903,video::7615414841565717620,video_related_video,True
1589,12078,video::7615414841565717620,video::7621942149454992847,video_related_video,False
12078,1589,video::7621942149454992847,video::7615414841565717620,video_related_video,True
1589,6284,video::7615414841565717620,video::7613334180059381476,video_related_video,False
6284,1589,video::7613334180059381476,video::7615414841565717620,video_related_video,True
1589,8841,video::7615414841565717620,video::7630838381609553190,video_related_video,False
8841,1589,video::7630838381609553190,video::7615414841565717620,video_related_video,True
1589,500,video::7615414841565717620,video::7607073020498460517,video_related_video,False
500,1589,video::7607073020498460517,video::7615414841565717620,video_related_video,True
1589,8363,video::7615414841565717620,video::7632677222474197745,video_related_video,False
8363,1589,video::7632677222474197745,video::7615414841565717620,video_related_video,True
1589,342,video::7615414841565717620,video::7605927072259982075,video_related_video,False
342,1589,video::7605927072259982075,video::7615414841565717620,video_related_video,True
1589,4310,video::7615414841565717620,video::7621509668644913339,video_related_video,False
4310,1589,video::7621509668644913339,video::7615414841565717620,video_related_video,True
1590,10824,video::7615434694180725425,video::7615593875944015602,video_related_video,False
10824,1590,video::7615593875944015602,video::7615434694180725425,video_related_video,True
1590,10822,video::7615434694180725425,video::7615846488766425838,video_related_video,False
10822,1590,video::7615846488766425838,video::7615434694180725425,video_related_video,True
1590,10826,video::7615434694180725425,video::7611418952819970427,video_related_video,False
10826,1590,video::7611418952819970427,video::7615434694180725425,video_related_video,True
1590,8967,video::7615434694180725425,video::7610775688694415606,video_related_video,False
8967,1590,video::7610775688694415606,video::7615434694180725425,video_related_video,True
1590,12079,video::7615434694180725425,video::7611102736587029157,video_related_video,False
12079,1590,video::7611102736587029157,video::7615434694180725425,video_related_video,True
1590,12080,video::7615434694180725425,video::7607853511569741169,video_related_video,False
12080,1590,video::7607853511569741169,video::7615434694180725425,video_related_video,True
1590,12081,video::7615434694180725425,video::7606978994312138362,video_related_video,False
12081,1590,video::7606978994312138362,video::7615434694180725425,video_related_video,True
1590,12082,video::7615434694180725425,video::7629141225303455717,video_related_video,False
12082,1590,video::7629141225303455717,video::7615434694180725425,video_related_video,True
1590,12083,video::7615434694180725425,video::7616907782511696731,video_related_video,False
12083,1590,video::7616907782511696731,video::7615434694180725425,video_related_video,True
1590,12084,video::7615434694180725425,video::7614073450735107974,video_related_video,False
12084,1590,video::7614073450735107974,video::7615434694180725425,video_related_video,True
1592,1950,video::7615452906074098971,video::7617368415921065270,video_related_video,False
1950,1592,video::7617368415921065270,video::7615452906074098971,video_related_video,True
1592,798,video::7615452906074098971,video::7610320147886132515,video_related_video,False
798,1592,video::7610320147886132515,video::7615452906074098971,video_related_video,True
1592,12085,video::7615452906074098971,video::7633350081499942184,video_related_video,False
12085,1592,video::7633350081499942184,video::7615452906074098971,video_related_video,True
1592,8273,video::7615452906074098971,video::7632261147776912681,video_related_video,False
8273,1592,video::7632261147776912681,video::7615452906074098971,video_related_video,True
1592,12086,video::7615452906074098971,video::7604707298228833571,video_related_video,False
12086,1592,video::7604707298228833571,video::7615452906074098971,video_related_video,True
1592,4574,video::7615452906074098971,video::7624790477553264357,video_related_video,False
4574,1592,video::7624790477553264357,video::7615452906074098971,video_related_video,True
1592,8656,video::7615452906074098971,video::7614439854369262884,video_related_video,False
8656,1592,video::7614439854369262884,video::7615452906074098971,video_related_video,True
1592,3598,video::7615452906074098971,video::7605545716735429914,video_related_video,False
3598,1592,video::7605545716735429914,video::7615452906074098971,video_related_video,True
1592,8279,video::7615452906074098971,video::7632961250401504566,video_related_video,False
8279,1592,video::7632961250401504566,video::7615452906074098971,video_related_video,True
1592,7009,video::7615452906074098971,video::7606651386750684462,video_related_video,False
7009,1592,video::7606651386750684462,video::7615452906074098971,video_related_video,True
4907,10187,video::7615484104284441894,video::7632550152636583208,video_related_video,False
10187,4907,video::7632550152636583208,video::7615484104284441894,video_related_video,True
4907,3028,video::7615484104284441894,video::7626793146587893044,video_related_video,False
3028,4907,video::7626793146587893044,video::7615484104284441894,video_related_video,True
4907,12087,video::7615484104284441894,video::7625989296662564102,video_related_video,False
12087,4907,video::7625989296662564102,video::7615484104284441894,video_related_video,True
4907,12088,video::7615484104284441894,video::7609618728170294543,video_related_video,False
12088,4907,video::7609618728170294543,video::7615484104284441894,video_related_video,True
4907,10455,video::7615484104284441894,video::7624840798388227249,video_related_video,False
10455,4907,video::7624840798388227249,video::7615484104284441894,video_related_video,True
4907,1225,video::7615484104284441894,video::7613072252204092712,video_related_video,False
1225,4907,video::7613072252204092712,video::7615484104284441894,video_related_video,True
4907,12089,video::7615484104284441894,video::7607111434383805746,video_related_video,False
12089,4907,video::7607111434383805746,video::7615484104284441894,video_related_video,True
4907,12090,video::7615484104284441894,video::7633379899012566298,video_related_video,False
12090,4907,video::7633379899012566298,video::7615484104284441894,video_related_video,True
4907,12091,video::7615484104284441894,video::7612595950120373545,video_related_video,False
12091,4907,video::7612595950120373545,video::7615484104284441894,video_related_video,True
4907,12092,video::7615484104284441894,video::7631193621156334867,video_related_video,False
12092,4907,video::7631193621156334867,video::7615484104284441894,video_related_video,True
1595,12093,video::7615488355888289969,video::7622715977532578033,video_related_video,False
12093,1595,video::7622715977532578033,video::7615488355888289969,video_related_video,True
1595,12094,video::7615488355888289969,video::7629548992690572283,video_related_video,False
12094,1595,video::7629548992690572283,video::7615488355888289969,video_related_video,True
1595,12095,video::7615488355888289969,video::7632296080058912165,video_related_video,False
12095,1595,video::7632296080058912165,video::7615488355888289969,video_related_video,True
1595,12096,video::7615488355888289969,video::7631070915140972870,video_related_video,False
12096,1595,video::7631070915140972870,video::7615488355888289969,video_related_video,True
1595,12097,video::7615488355888289969,video::7637692163467677157,video_related_video,False
12097,1595,video::7637692163467677157,video::7615488355888289969,video_related_video,True
1595,12098,video::7615488355888289969,video::7618197292689124209,video_related_video,False
12098,1595,video::7618197292689124209,video::7615488355888289969,video_related_video,True
1595,12099,video::7615488355888289969,video::7588455663257357568,video_related_video,False
12099,1595,video::7588455663257357568,video::7615488355888289969,video_related_video,True
1595,12100,video::7615488355888289969,video::7623712986038171065,video_related_video,False
12100,1595,video::7623712986038171065,video::7615488355888289969,video_related_video,True
1595,12101,video::7615488355888289969,video::7632350882252910953,video_related_video,False
12101,1595,video::7632350882252910953,video::7615488355888289969,video_related_video,True
1595,12102,video::7615488355888289969,video::7624124994335849713,video_related_video,False
12102,1595,video::7624124994335849713,video::7615488355888289969,video_related_video,True
1596,5982,video::7615499291624246582,video::7613378383765900570,video_related_video,False
5982,1596,video::7613378383765900570,video::7615499291624246582,video_related_video,True
1596,12103,video::7615499291624246582,video::7611579898003459379,video_related_video,False
12103,1596,video::7611579898003459379,video::7615499291624246582,video_related_video,True
1596,12104,video::7615499291624246582,video::7618231347904357254,video_related_video,False
12104,1596,video::7618231347904357254,video::7615499291624246582,video_related_video,True
1596,12105,video::7615499291624246582,video::7625922476958076223,video_related_video,False
12105,1596,video::7625922476958076223,video::7615499291624246582,video_related_video,True
1596,12106,video::7615499291624246582,video::7607705854296575284,video_related_video,False
12106,1596,video::7607705854296575284,video::7615499291624246582,video_related_video,True
1596,12107,video::7615499291624246582,video::7617373270869806342,video_related_video,False
12107,1596,video::7617373270869806342,video::7615499291624246582,video_related_video,True
1596,12108,video::7615499291624246582,video::7634634526517366022,video_related_video,False
12108,1596,video::7634634526517366022,video::7615499291624246582,video_related_video,True
1596,12109,video::7615499291624246582,video::7616705786546228490,video_related_video,False
12109,1596,video::7616705786546228490,video::7615499291624246582,video_related_video,True
1596,3237,video::7615499291624246582,video::7628236045397658886,video_related_video,False
3237,1596,video::7628236045397658886,video::7615499291624246582,video_related_video,True
1596,12110,video::7615499291624246582,video::7608895299389623586,video_related_video,False
12110,1596,video::7608895299389623586,video::7615499291624246582,video_related_video,True
1597,8877,video::7615501448062831887,video::7625937300261834003,video_related_video,False
8877,1597,video::7625937300261834003,video::7615501448062831887,video_related_video,True
1597,12111,video::7615501448062831887,video::7634521604352953641,video_related_video,False
12111,1597,video::7634521604352953641,video::7615501448062831887,video_related_video,True
1597,12112,video::7615501448062831887,video::7615576770472840488,video_related_video,False
12112,1597,video::7615576770472840488,video::7615501448062831887,video_related_video,True
1597,3829,video::7615501448062831887,video::7610310569521925410,video_related_video,False
3829,1597,video::7610310569521925410,video::7615501448062831887,video_related_video,True
1597,1539,video::7615501448062831887,video::7615144573223963923,video_related_video,False
1539,1597,video::7615144573223963923,video::7615501448062831887,video_related_video,True
1597,12113,video::7615501448062831887,video::7617436968971963657,video_related_video,False
12113,1597,video::7617436968971963657,video::7615501448062831887,video_related_video,True
1597,12114,video::7615501448062831887,video::7626642871185182003,video_related_video,False
12114,1597,video::7626642871185182003,video::7615501448062831887,video_related_video,True
1597,1026,video::7615501448062831887,video::7611817859555134730,video_related_video,False
1026,1597,video::7611817859555134730,video::7615501448062831887,video_related_video,True
1597,12115,video::7615501448062831887,video::7637470332604927273,video_related_video,False
12115,1597,video::7637470332604927273,video::7615501448062831887,video_related_video,True
1597,8881,video::7615501448062831887,video::7633400301743066431,video_related_video,False
8881,1597,video::7633400301743066431,video::7615501448062831887,video_related_video,True
1602,12116,video::7615539463104540526,video::7609136207229985201,video_related_video,False
12116,1602,video::7609136207229985201,video::7615539463104540526,video_related_video,True
1602,12117,video::7615539463104540526,video::7616527747304754467,video_related_video,False
12117,1602,video::7616527747304754467,video::7615539463104540526,video_related_video,True
1602,4953,video::7615539463104540526,video::7622353782819117184,video_related_video,False
4953,1602,video::7622353782819117184,video::7615539463104540526,video_related_video,True
1602,12118,video::7615539463104540526,video::7633990979750960377,video_related_video,False
12118,1602,video::7633990979750960377,video::7615539463104540526,video_related_video,True
