id_value,train_count,val_count,test_count,total_count,in_train,in_val,in_test,field
f1d5032f-3d91-2f62-f533-0e967c5edf36,3,2,0,5,True,True,False,author_id
4153322460956442,3,0,0,3,True,False,False,author_id
1157111048055262,3,0,0,3,True,False,False,author_id
2950728836192827,3,0,0,3,True,False,False,author_id
af302a7d-235b-8d80-fa8c-f0bb6b2d9f64,3,0,0,3,True,False,False,author_id
572174943393944,3,0,0,3,True,False,False,author_id
bf395850-2b8c-ab36-37e2-2fb029baba3b,3,1,0,4,True,True,False,author_id
61714625693,3,1,0,4,True,True,False,author_id
6ea9313f-d71a-a87b-52ce-df5854b67703,3,0,0,3,True,False,False,author_id
3912530210338105,3,2,0,5,True,True,False,author_id
9420b03a-9572-20d1-c204-b950b1a25d32,3,2,0,5,True,True,False,author_id
4079620600112506,3,0,0,3,True,False,False,author_id
6a91a80b-8913-cff1-92b8-292c6e92869f,3,1,0,4,True,True,False,author_id
894d76cd-57da-4afd-4cee-f9d4f443c330,3,1,0,4,True,True,False,author_id
f942fe78-c0ff-7c0a-d53a-200c6b07e462,3,0,2,5,True,False,True,author_id
8863ad2c-3fbb-18a0-8b90-e13e0759f326,3,2,2,7,True,True,True,author_id
2289662479049495,3,0,0,3,True,False,False,author_id
68092762727,3,1,0,4,True,True,False,author_id
bac0d6b8-de03-0f1d-1620-b70e8479e38e,3,0,0,3,True,False,False,author_id
6fffd821-9925-e7d4-7fcf-5d07fb054a29,3,0,0,3,True,False,False,author_id
c9ea6db8-8046-fe68-4268-a8d74e5e6579,3,0,0,3,True,False,False,author_id
cf18783f-aa85-c87a-1cb1-435981798017,3,2,0,5,True,True,False,author_id
cb86542f-9010-ebc5-e015-e16b069fade5,3,0,0,3,True,False,False,author_id
d1a6fa5e-23ce-2298-2a16-3bf29cc72421,3,0,0,3,True,False,False,author_id
2911949564683140,3,0,0,3,True,False,False,author_id
2120290872076504,3,0,1,4,True,False,True,author_id
c35671e2-7562-72f2-9e02-b4fca0d430bb,3,0,0,3,True,False,False,author_id
62e93bbc-003b-0e3e-3c7d-1ae411f1e554,3,0,0,3,True,False,False,author_id
103397729578,3,2,0,5,True,True,False,author_id
59618628613,3,0,0,3,True,False,False,author_id
92958352630,3,0,0,3,True,False,False,author_id
b97d568d-49ad-a3c8-5d38-07cc40d78584,3,2,0,5,True,True,False,author_id
1109830411237643,2,0,0,2,True,False,False,author_id
feda50fd-ecdb-0b38-428e-3fed3e4c2f3d,2,1,0,3,True,True,False,author_id
7803730a-25b2-9571-b5ff-16370d66c69e,2,0,0,2,True,False,False,author_id
1426495444369156,2,0,0,2,True,False,False,author_id
85634667995,2,0,0,2,True,False,False,author_id
7582872870130353211,2,0,0,2,True,False,False,author_id
1109880662935611,2,0,0,2,True,False,False,author_id
2605193420358716,2,0,0,2,True,False,False,author_id
2c0b3ded-6419-7602-13e4-02db5b5f618e,2,0,0,2,True,False,False,author_id
97739754904,2,0,0,2,True,False,False,author_id
94074233000,2,0,0,2,True,False,False,author_id
3d02f944-7525-562b-4020-f77b2b60fe51,2,2,0,4,True,True,False,author_id
6eebf4b8-22a3-9669-ad93-07350087b736,2,1,1,4,True,True,True,author_id
18620e12-2187-b4f6-22a2-29a15fda2128,2,0,0,2,True,False,False,author_id
55a38894-8add-0704-30e2-826ebefb916c,2,0,0,2,True,False,False,author_id
62586566-3bc3-194a-6509-16a2b75fd5c3,2,1,0,3,True,True,False,author_id
79625724863,2,0,0,2,True,False,False,author_id
96011117310,2,0,0,2,True,False,False,author_id
2608478173538542,2,0,1,3,True,False,True,author_id
3556290411900973,2,0,0,2,True,False,False,author_id
3991688022625388,2,0,0,2,True,False,False,author_id
694520620526701,2,0,0,2,True,False,False,author_id
9c6fa1e1-891e-1af1-c64e-ab74b27079cf,2,0,0,2,True,False,False,author_id
138a55fa-d8e2-a034-d66b-378e44717e52,2,0,0,2,True,False,False,author_id
1857503537928768,2,0,0,2,True,False,False,author_id
7524651291906245691,2,0,0,2,True,False,False,author_id
4397642625592397,2,0,0,2,True,False,False,author_id
4006273936268936,2,0,0,2,True,False,False,author_id
2749193430766183,2,0,1,3,True,False,True,author_id
1424564400947358,2,1,0,3,True,True,False,author_id
1557367439230164,2,0,0,2,True,False,False,author_id
86728097704,2,0,0,2,True,False,False,author_id
3513664665028872,2,0,1,3,True,False,True,author_id
1783837317144764,2,0,0,2,True,False,False,author_id
2439169152665136,2,0,0,2,True,False,False,author_id
19dcbd4c-103a-9346-4a36-03e20d919e02,2,0,0,2,True,False,False,author_id
1216472580364048,2,0,0,2,True,False,False,author_id
4152224902035979,2,0,0,2,True,False,False,author_id
61647309237,2,0,0,2,True,False,False,author_id
7579202889952838713,2,0,0,2,True,False,False,author_id
1165929269435325,2,0,0,2,True,False,False,author_id
1174704343513407,2,0,0,2,True,False,False,author_id
98875530033,2,0,0,2,True,False,False,author_id
1891620841597128,2,0,1,3,True,False,True,author_id
1030673207658936,2,0,0,2,True,False,False,author_id
3468275307255341,2,0,0,2,True,False,False,author_id
4176360165880010,2,0,0,2,True,False,False,author_id
4183001391965087,2,1,0,3,True,True,False,author_id
1312143929261107,2,0,0,2,True,False,False,author_id
2836366859970795,2,0,0,2,True,False,False,author_id
68962603052,2,0,0,2,True,False,False,author_id
165375863963003,2,0,0,2,True,False,False,author_id
2247841887035244,2,1,0,3,True,True,False,author_id
100401316435,2,0,0,2,True,False,False,author_id
2772309332733721,2,0,1,3,True,False,True,author_id
7580000648511423537,2,0,0,2,True,False,False,author_id
2682425610604831,2,0,0,2,True,False,False,author_id
3888335972730414,2,0,0,2,True,False,False,author_id
115875635274708,2,0,0,2,True,False,False,author_id
4100545105634378,2,0,0,2,True,False,False,author_id
2793210749917215,2,0,0,2,True,False,False,author_id
2681059500897643,2,0,0,2,True,False,False,author_id
aae71d6f-a96d-818a-080f-7a52d026d239,2,0,1,3,True,False,True,author_id
55621d9e-5b57-7804-5167-ad93e7487357,2,0,1,3,True,False,True,author_id
1213493492849592,2,0,0,2,True,False,False,author_id
1012012392142637,2,0,0,2,True,False,False,author_id
4215951673273543,2,0,0,2,True,False,False,author_id
5601727f-008a-1460-a9cf-f47aaf2d6584,2,0,0,2,True,False,False,author_id
2709efad-876d-1675-bb31-0b484a1e472b,2,0,0,2,True,False,False,author_id
1944369764249852,2,0,0,2,True,False,False,author_id
25fe8426-eaea-0225-791b-3de94c62970a,2,0,1,3,True,False,True,author_id
496e7137-f87e-4211-c881-a4b212317994,2,1,1,4,True,True,True,author_id
2fc66c31-8f10-4caa-c278-292de2db0109,2,0,0,2,True,False,False,author_id
91763f46-5d12-4739-d6bd-e994d7b26094,2,0,0,2,True,False,False,author_id
2417187782926460,2,0,0,2,True,False,False,author_id
549c5e47-7d29-752a-6623-fd2a2a88bf79,2,0,0,2,True,False,False,author_id
bc596408-1ca7-c8da-6ac2-ecdb8c96eda9,2,0,0,2,True,False,False,author_id
71160232152,2,0,0,2,True,False,False,author_id
79213951637,2,0,0,2,True,False,False,author_id
104372782587,2,0,0,2,True,False,False,author_id
24293d6e-8131-6341-b8a5-d2049792eac5,2,1,0,3,True,True,False,author_id
282989217986410,2,0,0,2,True,False,False,author_id
d650f6a2-e37e-f8f6-f9da-50104275092d,2,0,0,2,True,False,False,author_id
2fa8631c-6275-9476-7ad1-bf588e21f648,2,1,0,3,True,True,False,author_id
8bbef3b6-2968-da49-25c8-63aadd61ebaf,2,0,1,3,True,False,True,author_id
3891926451362508,2,0,1,3,True,False,True,author_id
59589523985,2,0,0,2,True,False,False,author_id
2120285603241299,2,0,0,2,True,False,False,author_id
156578512909178,2,0,0,2,True,False,False,author_id
5e67b9f3-bf1a-f6a8-4d07-547afe0382e8,2,0,0,2,True,False,False,author_id
d3fc28fb-550c-4223-ed07-b9a340b44f80,2,0,1,3,True,False,True,author_id
691e50fe-991b-c00b-0e90-fc2e0c014835,2,0,1,3,True,False,True,author_id
2047747647355828,2,0,0,2,True,False,False,author_id
10ef7a5e-9615-707a-0ce6-454562d2b3e5,2,0,0,2,True,False,False,author_id
6233a539-aa44-091d-00b9-723c3aa57a4c,2,0,2,4,True,False,True,author_id
83850498434,2,1,0,3,True,True,False,author_id
0f2b3ebe-9cf5-a606-be43-7854d725d2c0,2,1,1,4,True,True,True,author_id
2115905410564941,2,0,0,2,True,False,False,author_id
1930395156230429,2,0,0,2,True,False,False,author_id
237149111203502,2,0,0,2,True,False,False,author_id
4266539925651144,2,0,0,2,True,False,False,author_id
4068619693333071,2,0,1,3,True,False,True,author_id
2630512660721741,2,0,0,2,True,False,False,author_id
3507878007943865,2,0,0,2,True,False,False,author_id
66874375997,2,0,0,2,True,False,False,author_id
106831234994,2,0,0,2,True,False,False,author_id
3648631262682890,2,0,1,3,True,False,True,author_id
1910281942606172,2,0,1,3,True,False,True,author_id
3883910597462056,2,0,0,2,True,False,False,author_id
7460009747736724538,2,0,0,2,True,False,False,author_id
2825080825200048,2,0,0,2,True,False,False,author_id
7571072628598064187,2,0,0,2,True,False,False,author_id
798722120225674,2,0,0,2,True,False,False,author_id
3227813844096955,2,0,0,2,True,False,False,author_id
864648353029428,2,0,0,2,True,False,False,author_id
7524625866836902971,2,1,1,4,True,True,True,author_id
76a9cd89-fdab-b802-70c2-7bc259d1b013,2,0,0,2,True,False,False,author_id
1643108878518265,2,0,0,2,True,False,False,author_id
3406723739036496,2,0,0,2,True,False,False,author_id
3115385182766064,2,0,0,2,True,False,False,author_id
6556303280,2,0,0,2,True,False,False,author_id
1465016975110660,2,0,0,2,True,False,False,author_id
63217778210,2,0,1,3,True,False,True,author_id
742917355609805,2,0,0,2,True,False,False,author_id
7503184601084593209,2,0,1,3,True,False,True,author_id
78529946587,2,0,2,4,True,False,True,author_id
3793743456768937,2,0,0,2,True,False,False,author_id
2762428027510932,2,0,1,3,True,False,True,author_id
3927079537088676,2,0,0,2,True,False,False,author_id
3668421832879464,2,0,0,2,True,False,False,author_id
2630483193373616,2,0,0,2,True,False,False,author_id
4435873729611747,2,1,0,3,True,True,False,author_id
1025196285503872,2,0,0,2,True,False,False,author_id
552435821321964,2,0,0,2,True,False,False,author_id
4209345577880158,2,0,1,3,True,False,True,author_id
1260518160730740,2,0,0,2,True,False,False,author_id
7439662044653208634,2,0,0,2,True,False,False,author_id
1359465183183246,2,1,1,4,True,True,True,author_id
64357337547,2,0,0,2,True,False,False,author_id
95803736069,2,0,0,2,True,False,False,author_id
71297243911,2,0,0,2,True,False,False,author_id
3747580631854878,2,0,0,2,True,False,False,author_id
bc46d2b6-6fc1-9117-5331-e0077c994de4,2,0,0,2,True,False,False,author_id
295091404538055,2,1,0,3,True,True,False,author_id
796465663856460,2,0,0,2,True,False,False,author_id
7599934593777501243,2,0,0,2,True,False,False,author_id
52ad7ae9-15c7-855d-2add-492bcf2b0b02,2,0,0,2,True,False,False,author_id
849288972224531,2,0,0,2,True,False,False,author_id
